中文,英文
急性辐照,acute irradiation
控制发霉,mold control
货架期延长,shelf-life extension
辐射灭菌,radicidation
养虫工厂,insect mass-rearing plant
雄性不育技术,malesterile technique
反刍动物生产力,ruminant productivity
结合态农药残留物,bond pesticide residue
辐射强度,radiation intensity
生物利用率,bioavailability
稳定[性]核素,stable nuclide
有害副作用,harmful side effect
核裂变,nuclear fission
慢化,moderation
快中子,fast neutron
诱发放射性,induced radioactivity
分辨力,resolving ability
反散射,back scatter
扫描线,scane line
目视判读,visual interpretation
配准,registration
图像处理,image processing
监督分类,supervised classification
非监督分类,unsupervised classification
土地覆盖分类,land cover classification
彩红外负片,color infrared negative film
反射率,reflectivity
识别能力,recognizability
纹理,texture
地域分析,terrain analysis
边缘增强,edge enhancement
土壤调查,soil survey
树冠反射,canopy reflectance
辐照室,irradiation chamber
空间信息,spatial information
密度分割,density slicing
数据压缩,data compression
特征提取,feature extraction
定位,location
土地适宜性,land suitability
绿度值,greenness index
作物清查,crop inventory
属性数据,attribute data
热柱,thermal column
放射生物学,radiobiology
质谱法,mass spectrography
微放射性自显影[术],micro-autoradiography
每分钟衰变,disintigration per minute
酶联免疫吸收分析,enzyme-linked immunosorbent assay
同位素稀释分析,isotope dilution analysis
传能线密度,linear energy transfer
辐射防护,radiation protection
同位素富集度,isotope enrichment
突变发生,mutagenesis
放射性示踪物,radioactive tracer
落下灰,fallout
放射性污染,radioactive contamination
放射性废物处理,radioactive waste disposal
同位素丰度,isotope abundance
物理诱变因素,physical mutagen
慢性辐照,chronic irradiation
前辐照,pre-irradiation
后辐照,post-irradiation
食品保藏,food preservation
竞争能力,competitive ability
衰减系数,attenuation coefficient
敏化,sensitization
核衰变,nuclear distintegration
ELISA药盒,ELISA kit
数据编码,data code
核能级,nuclear energy level
化学诱变剂,chemical mutagen
聚类,clustering
计数率,counting rate
数据结构,data construction
靶学说,target theory
机助制图,computer aided mapping
中子活化分析,neutron activation analysis
放射免疫分析,radioimmunoassay
核磁共振,nuclear magnetic resonnance
激光微束辐照,laser micro-irradiation
同位素交换,isotope exchange
同位素分离,isotope separation
标记化合物,labeled compound
标记昆虫,labeled insect
电离室,ionization chamber
轫致辐射,Bremsstrahlung
电离密度,ionization density
辐射敏感性,radiosensitivity
突变体种质库,mutant bank
衰变常数,decay constant
衰变率,decay rate
修复过程,repair process
辐射计,radiometer
彩色合成仪,additive [color] viewer
训练样本,training sample
微波遥感,microwave remote sensing
立体镜,stereoscope
辐照度,irradiance
分层,stratification
红外扫描,infrared scanning
像元,pixel
多时相,multidate
灰度,grey scale
植物种类识别,discrimination of plant species
几何校正,geometric correction
陆地卫星,Landsat
去污,decontamination
固相放射免疫分析,solid phase RIA
抗诱变因素,anti-mutagen
突变体间杂交种,inter-mutant hybrid
本底计数,background counting
薄层色谱法,thin-layer chromatography
相对生物效应,relative biological effectiveness
植被指数,vegetation index
数据格式,data format
栅格数据,raster data
农业信息系统,agricultural information system
辐照工厂,irradiation plant
γ圃,γ-field
放射生态学,radioecology
核农学,nuclear agricultural science
同位素,isotope
每分钟计数,count per minute
干灰化,dry ashing
间歇辐照,intermitant irradiation
血清监测,sero-monitoring
发情探测,oestrus detection
γ射线巴氏灭菌消毒法,γ-ray pasteurization
笼内释放,cage release
γ射线灭菌,γ-ray sterilization
田间释放,field release
人工饲料,artificial diet
衰变曲线,decay curve
衰变产物,decay product
中子湿度测量仪,neutron moisture gauge
地形图,contour map
图像合成,image composition
决策支持系统,decission support system
咨询服务系统,consultative service system
生育期预测,development stage estimation
产量模式,yield model
农业产量预测系统,agricultural yield forecast system
估产,yield estimation
农业系统模型,agricultural system model
生态模拟,ecological simulation
空间数据,spatial data
镶嵌图,mosaic
同位素药盒,isotope kit
移动辐照器,mobile irradiator
疾病诊断,disease diagnosis
α计数器,α-counter
专性寄生物,obligate parasite
秆黑粉病,flag smut
小麦赤霉病,wheat scab
稻白叶枯病,rice bacterial leaf blight
免疫,immune
褐根病,brown root rot
坚黑穗病,covered smut
综合防治,integrated control
植物检疫,plant quarantine
法规防治,legal control
发生期预测,forecast of emergence period
发生量预测,forecast of emergence size
危害程度预测,forecast of damage
[易]感虫性,susceptibility
虫情调查,insect survey
重寄生,hyperparasitism
多寄生,multiparasitism
生物型,biotype
利它素,kairomone
寄蝇,tachina fly
卵寄生物,egg parasite
残毒,residual toxicity
等剂量曲线,isodose curve
剂量率,dose rate
致死剂量,lethal dose
内吸杀虫剂,systemic insecticide
防腐剂,antiseptics
杀虫剂,insecticide
净化剂,clarificant
消毒剂,disinfectant
生殖力,fecundity
展着剂,spreader
寄生性,parasitism
单食性,monophagy
寄主植物,host plant
分布型,pattern of spatial distribution
经济允许水平,economic injury level
枯心,dead heart
白穗,white head
负趋性,negative taxis
东亚飞蝗,Asiatic migratory locust
黏虫,armyworm
棉盲蝽,cotton leaf bug
高粱芒蝇,sorghum shoot fly
亚洲玉米螟,Asiatic corn borer
寄生蝇,parasitic fly
黑尾叶蝉,rice leafhopper
传播介体,vector
杀鼠剂,rodenticide
锈菌,rust
麦二叉蚜,greenbug
小菜蛾,diamond-back moth
棉铃虫,cotton bollworm
苹果绵蚜,woolly apple aphid
交叉侵染,cross infection
茶梢蛀蛾,tea shoot borer
植物病害,plant disease
伤害,injury
慢性伤害,chronic injury
初侵染,primary infection
梢枯,dieback
矮化,dwarf
疱痂,scab
增生,hyperplasia
瘟病,blast
角斑病,angular leaf spot
炭疽病,anthracnose
猝倒病,damping-off
黑粉菌,smut
白粉病,powdery mildew
急性伤害,acute injury
气传病害,aeroborne disease
姬蜂,ichneumon fly
瓢虫,ladybird beetle
捕食性螨,predacious mite
有效成分,active ingredient
休眠,dormancy
性比,sex ratio
经济阈值,economic threshold
趋性,taxis
有害生物,pest
枯斑,lesion
条纹病,stripe
杀线虫剂,nematocide
豆荚螟,lima bean pod borer
柑桔大实蝇,citrus fruit fly
豌豆潜叶蝇,pea leafminer
茶毛虫,tea caterpillar
谷蠹,lesser grain borer
桑象虫,mulberry small weevil
茶小绿叶蝉,tea lesser leafhopper
咖啡果小蠹,coffee berryborer
桑透翅蛾,mulberry clearwing moth
橡胶白蚁,rubber termite
侵染性病害,infectious disease
联体病毒,gemnivirus
预测,forecast
分布预测,forecast of distribution
苏云金杆菌,Bt
棉叶蝉,cotton leafhopper
麦秆蝇,wheat stem maggot
麦长管蚜,English grain aphid
粟芒蝇,millet shoot fly
甘薯小象虫,sweet potato weevil
潜伏侵染,latent infection
线虫,nematode
山楂红蜘蛛,hawthron spider mite
桃蠹螟,peach pyralid moth
茶短须螨,privet mite
茶橙瘿螨,pink tea rust mite
吹绵蚧,cottonycushion scale
可可象虫,cocoa pruner
咖啡潜叶蛾,coffee leafminer
咖啡枝小蠹,coffee shot-hole borer
发病指数,disease index
再侵染,secondary infection
避病性,disease-escaping
带毒者,carrier
周期性症状,chronic symptom
叶斑,leaf spot
隐症,masked symptom
白化,albinism
霉,mold
带化,fasciation
变绿,virescent
日灼病,sunscald
半知菌,imperfect fungus
黏菌,slime mold
软腐,soft rot
转主寄生,heteroecism
子囊菌,ascomycetes
毒力,virulence
毒植物素,phytotoxin
毒性,toxity
免疫性,immunity
稻干尖线虫病,rice white tip
稻瘟病,rice blast
土传病害,soil-borne disease
条锈病,stripe rust
黄萎病,verticillium wilt
马铃薯晚疫病,potato late blight
玉米小斑病,corn southern leaf blight
茶饼病,tea gall
机械防治,mechanical control
化学防治,chemical control
物理防治,physical control
食虫虻,robber fly
花蝽,flower bug
草蛉,lacewing fly
抗药性,pesticide resistance
残留,residue
杀螨剂,acaricide
半数致死量,median lethal dose
剂量测定,dosimetry
剂量效应曲线,dose-effect curve
灭菌,sterilization
辅助剂,adjuvant
保护剂,protectant
熏蒸剂,fumigant
拒虫剂,repellent
乳化剂,emulsifier
湿润剂,wetting agent
捕食性,predatism
虫瘿,insect gall
趋化性,chemotaxis
三化螟,paddy stem borer
金针虫,wireworm
剂量划分,dose fractionation
大豆蚜,soybean aphid
大豆食心虫,soybean pod borer
桃蚜,green peach aphid
苹小食心虫,apple fruit borer
玉米象,corn weevil
蚕豆[红脚]象,broadbean weevil
桑蟥,mulberry white caterpillar
病原,pathogen
传播,transmission
侵染性,infectivity
再侵染源,secondary source of infection
保卫反应,defense reaction
穿孔,shot-hole
黄化,yellow
坏死,necrosis
肿瘤,tumor
花叶病,mosaic
流胶病,gummosis
根肿病,club root
抗性,resistance
转主寄主,alternate host
腐生物,saprophyte
内寄生物,endoparasite
国内检疫,domestic quarantine
国际检疫,international quarantine
生物防治,biological control
排趋性,antixenosis
抗虫性,resistance to insects
预报,forecast
利己素,allomone
小茧蜂,braconid
白僵菌,white muscardine fungi
步甲,ground beetle
食蚜蝇,syrphus fly
化学治疗,chemotherapy
积分剂量计,integrating dosimeter
吸收剂量,absorbed dose
微剂量测定,micro-dosimetry
颗粒杀虫剂,granular insecticide
触杀剂,contact insecticide
杀菌剂,fungicide
活化剂,activator
寡食性,oligophagy
繁殖率,reproduction rate
外激素,pheromone
趋光性,phototaxis
趋触性,thigmotaxis
地下害虫,soil insect
多食性,polyphagy
损失估计,loss assessment
麦黄吸浆虫,yellow wheat blossom midge
蛴螬,white grub
二化螟,striped rice borer
棉红蜘蛛,two-spotted spider mite
高粱蚜,sorghum aphid
马铃薯块茎蛾,potato tuberworm
米象,rice weevil
蝼蛄,mole criket
疤斑,blotch
症状,symptom
草地螟,beet webworm
非侵染性病害,non-infectious disease
植物病害流行预测,forecast of epiphytotic
单克隆抗体,monoclone antibody
获得免疫性,acquired immunity
细菌性青枯病,bacterial wilt
根线虫病,root nematode disease
抗性机制,mechanism of resistance
土壤处理,soil treatment
诱虫剂,attractant
取食习性,feeding habit
非密度制约因子,density-independent factor
稻瘿蚊,rice gall midge
干腐,dry rot
菌物,fungus
菜粉蝶,imported cabbageworm
棉红铃虫,pink bollworm
甘蔗螟,sugarcane borer
棉大卷叶螟,cotton leafroller
柑桔红蜘蛛,citrus red mite
柑桔锈螨,citrus rust mite
梨圆蚧,San Jose scale
苹果蠹蛾,codling moth
麦蛾,Angoumois grain moth
桑木虱,mulberry psylla
咖啡虎天牛,coffee borer
咖啡粉蚧,coffee mealy bug
感病性,susceptibility
过敏性,hypersensitivity
致病性,pathogenicity
病害循环,disease cycle
病原学,etiology
感病体,suscept
初侵染源,primary source of infection
疫病,blight
茎纹病,stem-pitting
藻状菌,phycomycetes
担子菌,basidiomycetes
僵果病,mummy
真菌,true fungus
拮抗[作用],antagonism
小麦叶锈病,wheat leaf rust
稻恶苗病,rice bakanae disease
秆锈病,black stem rust
种传病害,seed-borne disease
多元抗性,multiple resistance
它感素,allelochemics
耐虫[害]性,tolerance to insects
水平抗性,horizontal resistance
天敌,natural enemy
垂直抗性,vertical resistance
捕食性天敌,predator
取食刺激剂,feeding stimulant
寄生性天敌,parasite
取食抑制剂,feeding deterrent
猎蝽,assassin bug
寄生蜂,parasitic wasp
拟猎蝽,nabid
飞机喷雾,aerial spraying
寄主专一性,host specificity
寄主选择性,host selection
防治效果,control efficiency
超低容量,ultra low volume
残效,residual effect
超低容量喷雾,ultra low volume spraying
剂量,dose
剂量计,dosimeter
分次剂量,split dose
铲除剂,eradicant
抗变剂,anti-mutagen
胃毒杀虫剂,stomach insecticide
稳定剂,stabilizing agent
存活率,survival rate
性外激素,sex pheromone
食物链,food chain
麦红吸浆虫,red wheat blossom midge
黑森瘿蚊,Hessian fly
粟灰螟,millet borer
半寄生物,semiparasite
喷粉,dusting
卵菌,oomycetes
瘿瘤,gall
锈斑,russet
病程,pathogenesis
苹果红蜘蛛,European red mite
梨小食心虫,oriental fruit moth
桃小食心虫,peach fruit borer
葡萄根瘤蚜,grape phylloxera
枣黏虫,jujube fruit borer
急性症状,acute symptom
灼伤,scorch
腐烂,rot
毒饵,poison bait
菜螟,cabbage webworm
烟青虫,oriental tobacco budworm
甜菜潜叶蝇,sugarbeet leafminer
咖啡豆象,coffee bean weevil
变异性,variability
植物流行病学,epiphytology
霜霉病,downy mildew
非持久性病毒,non-persistent virus
细菌,bacterium
抗血清,antiserum
获得抗性,acquired resistance
谷子白发病,millet downy mildew
玉米大斑病,corn northern leaf blight
苹果[树]腐烂病,apple valsa canker
有害生物综合治理,integrated pest management
越冬防治,overwintering control
喷雾,spraying
热释光剂量测定,thermoluminescent dosimetry
稻纵卷叶螟,rice leaf roller
地老虎,cutworm
褐飞虱,brown planthopper
白背飞虱,white-backed planthopper
欧洲玉米螟,European corn borer
密度制约因子,density-dependent factor
被害率,percent of infestation
损失率,percent of loss
大螟,purplish rice borer
棉蚜,cotton aphid
生命表,life table
载体,carrier
病毒粒体,virion
病征,sign
斑点,fleck
植食性,phytophagy
病毒,virus
甜菜象虫,sugarbeet weevil
甘蓝蚜,cabbage aphid
苹果顶芽卷叶蛾,apple fruit licker
豌豆象,pea weevil
绿豆象,adzuki bean weevil
谷象,granary weevil
茶二叉蚜,black citrus aphid
印度谷螟,Indian meal moth
茶尺蠖,tea geometrid
茶角蜡蚧,tea waxscale
桑天牛,mulberry longicorn
桑毛虫,mulberry tussock moth
桑白盾蚧,white mulberry scale
病害监测,disease monitoring
寄生性病害,parasitic disease
耐病性,disease tolerance
侵染源,source of infection
侵染,infection
潜伏期,latent period
潜育期,incubation period
斑驳,mottle
和性症状,mild symptom
局部枯斑,local lesion
疯长,hypertrophy
环斑,ring spot
萎蔫,wilt
缺绿症,chlorosis
溃疡病,canker
霉菌,mold
褐腐,brown rot
寄主,host
放线菌,actinomycetes
类病毒,viroids
持久性病毒,persistent virus
毒素,toxin
拮抗体,antagonist
拮抗生物,antibionts
寄主范围,host range
抗体,antibody
寄生物,parasite
外寄生物,ectoparasite
抗原,antigen
枯萎病,fusarium wilt
苗立枯病,seedling blight
甘薯黑斑病,sweet potato black rot
栽培防治,cultural control
植物保护,plant protection
不选择性,non-preference
抗生性,antibiosis
选择性杀虫剂,selective insecticide
催化剂,catalyst
滞育,diapause
除草剂,herbicide
增效剂,synergist
微生物杀虫剂,microbial insecticide
咖啡,coffee
大豆,soybean
甘蓝型油菜,cabbage type rape
普通型花生,Virginia type peanut
苘麻,Chinese jute
亚麻,flax
乌拉草,ura sedge
剑麻,sisal hemp
竹蔗,Chinese sugar cane
甜[叶]菊,stevia
桄榔,sugar palm
甜菜,[common] beet
可可,cocoa
糖用甜菜,sugar beet
菜用甜菜,garden beet
草棉,levant cotton
多年生海岛棉,perennial sea-island cotton
野生大豆,wild soybean
油渣果,largefruit hodgsonia
红麻,kenaf
席草,mat grass
冬油菜,winter rape
茶,tea
棉[花],cotton
[落]花生,peanut
直立型花生,erect type peanut
芥菜型油菜,mustard type rape
多粒型花生,Valencia type peanut
芝麻,sesame
薄荷,[pepper] mint
罂粟,opium poppy
油茶,oil tea
油棕,oil palm
海岛棉,sea-island cotton
灯心草,common rush
杜仲,eucommia
银胶菊,guayule
甘蔗,sugar cane
油菜,rape
文冠果,yellow horn
黄花烟草,Aztec tobacco
[巴西]橡胶树,Para rubber tree
饲用甜菜,fodder beet
香茅,citronella grass
匍匐型花生,spreading type peanut
低酚棉,low gossypol cotton
罗布麻,dogbane
龙舌兰,agave
大麻,hemp
桑,mulberry
春油菜,spring rape
宿根蔗,stubble cane
红花,safflower
蓖麻,castor bean
油桐,tung oil tree
黄麻,roundpod jute
椰子,coconut
春大豆,spring soybean
夏大豆,summer soybean
丛生型花生,bunch type peanut
向日葵,sunflower
白菜型油菜,turnip type rape
亚洲棉,Asian cotton
乌桕,tallow tree
陆地棉,upland cotton
油橄榄,[common] olive
烟草,tobacco
苎麻,ramie
芦苇,reed
脱粒,threshing
根接,root grafting
高接,top-working
直立压条,mound layering
中间砧,interstock
嫁接结合部,graft union
远缘嫁接,distant grafting
温室管理,greenhouse management
温室栽培,greenhouse culture
犁沟,furrow
休闲,fallow
连作,continuous cropping
果树栽培,fruit growing
单作,sole cropping
作物栽培,crop growing
间作,intercropping
矮化栽培,dwarfing culture
初耕,first plowing
浅耕,shallow plowing
交叉犁耕,cross plowing
平地,leveling
耱地,smoothing
播前处理,presowing treatment
少耕,minimum tillage
台地栽培,table-land culture
灭茬,stubbling
整形,training
嫁接亲和力,grafting affinity
行距,row spacing
一熟,single cropping
二熟,double cropping
轮作,rotation
耕作制,farming system
复种指数,cropping index
复种,multiple cropping
栽培,culture
露地栽培,field culture
免耕,zero tillage
犁幅宽度,plowing width
耙地,harrowing
播种期,seeding date
条播,drilling
蒿秆覆盖,straw mulching
假植,temporary planting
水稻旱播,dry-seeded rice
嫁接,grafting
接穗,scion
砧木,rootstock
实生砧,seedling rootstock
疏果,fruit thinning
疏花,flower thinning
冠接,crown grafting
摘心,pinching
修剪,pruning
嫁接嵌合体,grafting chimaera
疏剪,thinning out
芽接,budding
蔬菜栽培,vegetable growing
花卉栽培,floriculture
后作[物],following crop
深松耕,subsoiling
翻耕,plowing
旋耕,rotary tillage
深耕,deep plowing
耖地,puddling
播量,seeding rate
开沟压条,trench layering
定苗,establishing
培土,hilling
温床育苗,raise seedling in hot bed
暖棚栽培,plastic house culture
锄地,hoeing
三熟,triple cropping
混作,mixed cropping
移栽,transplantation
压条繁殖,propagation by layering
育苗,raise seedling
高枝压条,air layering
种植制度,cropping system
套耕,tandem plowing
保护地栽培,protected culture
撒播,broadcasting
点播,hill seeding
整地,land preparation
出苗,seedling emergence
收割,harvesting
矮化砧,dwarfing rootstock
无性系砧木,clonal rootstock
干砧,body stock
砧穗组合,stion
枝接,stem grafting
轮作周期,rotation cycle
草田轮作,gross-crop rotation
机械化栽培,mechanized farming
垄耕,ridge plowing
无土栽培,soilless culture
间苗,thinning
播幅,drilling width
块茎嫁接,tuber grafting
畦,bed
直播,direct seeding
苗床,seed bed
镇压,pressing
温床栽培,hot bed culture
二重接,double working
轮作顺序,rotation sequence
套作,relay cropping
多熟,multiple cropping
前作[物],previous crop
复耕,second plowing
水培,hydroponics
全苗,full stand
种植密度,planting density
株距,plant spacing
地膜覆盖,plastic mulching
穴距,hill spacing
田间管理,field management
分枝繁殖,propagation by division
蹲苗,hardening of seedling
冷床,cold bed
除草,weeding
温床,hot bed
接芽,scion bud
桥接,bridge grafting
打顶,topping off
砧穗相互作用,stock-scion interaction
小麦,wheat
早稻,early rice
粳稻,keng rice
晚稻,late rice
啤酒大麦,malting barley
双季稻,double cropping rice
软质小麦,soft wheat
荞麦,buckwheat
二棱大麦,two-rowed barley
马齿[型]玉米,dent corn
爆粒玉米,pop corn
木薯,cassava
豌豆,pea
糯稻,glutinous rice
苦荞[麦],tartarian buckwheat
多棱大麦,multi-rowed barley
糯高粱,glutinous sorghum
糯玉米,waxy corn
粟,foxtail millet
[皮]大麦,barley
野生稻,wild rice
陆稻,upland rice
杂交高粱,hybrid sorghum
甜玉米,sweet corn
夏玉米,summer corn
鹰嘴豆,chickpea
春[小]麦,spring wheat
杂交[水]稻,hybrid rice
玉米,corn
中稻,mid-season rice
冬[小]麦,winter wheat
小黑麦,triticale
黍,broomcorn millet
春玉米,spring corn
饭豆,rice bean
小扁豆,lentil
蚕豆,broad bean
紫花豌豆,field pea
黑麦,rye
珍珠粟,pearl millet
硬粒玉米,flint corn
甘薯,sweet potato
[子],finger millet
裸大麦,naked barley
中间型大麦,intermedium barley
甜高粱,sweet sorghum
[红]小豆,red bean
高粱,sorghum
[水]稻,rice
燕麦,oats
再生稻,ratoon rice
硬粒小麦,durum wheat
提莫菲维小麦,timopheevi wheat
深水稻,deep water rice
籼稻,hsien rice
单季稻,single cropping rice
裸燕麦,naked oats
硬质小麦,hard wheat
杂交玉米,hybrid corn
绿豆,mung bean
